time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-14 00:00:00+00:00,36.0,3.0,91,2
2025-01-15 00:00:00+00:00,32.0,3.0,111,2
2025-01-16 00:00:00+00:00,33.0,4.0,80,1
2025-01-17 00:00:00+00:00,22.0,3.0,38,2
2025-01-18 00:00:00+00:00,1.0,1.0,12,2
2025-01-19 00:00:00+00:00,,,6,1
2025-01-20 00:00:00+00:00,,,8,1
2025-01-21 00:00:00+00:00,2.0,1.0,5,1
2025-01-22 00:00:00+00:00,,,16,2
2025-01-23 00:00:00+00:00,1.0,1.0,6,2
2025-01-24 00:00:00+00:00,22.0,4.0,43,2
2025-01-25 00:00:00+00:00,16.0,5.0,26,2
2025-01-26 00:00:00+00:00,1.0,1.0,10,3
2025-01-27 00:00:00+00:00,,,4,1
